iter	Passed	Remaining
902	6445	692
903	6455	685
904	6461	678
905	6472	671
906	6478	664
907	6489	657
908	6495	650
909	6507	643
910	6513	636
911	6522	629
912	6528	622
913	6537	615
914	6544	607
915	6553	600
916	6559	593
917	6567	586
918	6573	579
919	6580	572
920	6587	565
921	6593	557
922	6601	550
923	6607	543
924	6615	536
925	6621	529
926	6627	521
927	6635	514
928	6641	507
929	6648	500
930	6654	493
931	6661	486
932	6668	478
933	6674	471
934	6682	464
935	6690	457
936	6698	450
937	6704	443
938	6710	435
939	6718	428
940	6723	421
941	6730	414
942	6737	407
943	6743	400
944	6750	392
945	6756	385
946	6762	378
947	6769	371
948	6776	364
949	6782	356
950	6788	349
951	6794	342
952	6801	335
953	6807	328
954	6813	321
955	6819	313
956	6825	306
957	6831	299
958	6837	292
959	6843	285
960	6849	277
961	6855	270
962	6861	263
963	6866	256
964	6873	249
965	6880	242
966	6887	235
967	6893	227
968	6899	220
969	6906	213
970	6912	206
971	6918	199
972	6924	192
973	6930	185
974	6936	177
975	6942	170
976	6948	163
977	6954	156
978	6960	149
979	6966	142
980	6972	135
981	6978	127
982	6984	120
983	6989	113
984	6995	106
985	7004	99
986	7010	92
987	7018	85
988	7025	78
989	7031	71
990	7038	63
991	7045	56
992	7051	49
993	7059	42
994	7066	35
995	7075	28
996	7081	21
997	7089	14
998	7096	7
999	7103	0
